Roll,positive_marks,negative_marks,total_marks
1401ME61,44,16,28/112
1401CS40,80,8,72/112
1401EE17,20,12,8/112
1401ME10,32,13,19/112
1401ME69,36,12,24/112
1401CS31,80,7,73/112
1401CS15,72,2,70/112
1401EE32,28,11,17/112
1401CE04,84,1,83/112
1401CS68,72,7,65/112
1401CE61,104,2,102/112
1401ME80,16,0,16/112
1401ME83,36,8,28/112
1401ME52,48,16,32/112
1401EE58,80,3,77/112
1401EE56,20,6,14/112
1401ME07,84,1,83/112
1401CS63,76,2,74/112
1401ME42,88,5,83/112
1401ME71,64,5,59/112
1401CB51,108,1,107/112
1401EE15,52,4,48/112
1401CS66,108,1,107/112
1401CS44,112,0,112/112
1401CS14,100,2,98/112
1401EE27,64,1,63/112
1401EE36,56,5,51/112
1401CS78,112,0,112/112
1401CE47,56,1,55/112
1401CE29,60,8,52/112
1401ME11,84,3,81/112
1401ME45,88,2,86/112
1401CB02,68,3,65/112
1401CB16,100,1,99/112
1401MM25,92,1,91/112
1401EE67,84,3,81/112
1401CE25,84,1,83/112
1401CB37,36,6,30/112
1401CS67,76,6,70/112
1401CS74,60,3,57/112
1401ME76,76,2,74/112
1401EE20,40,0,40/112
1401EE53,88,1,87/112
1401EE18,56,7,49/112
1401CB35,52,1,51/112
1401MM04,32,10,22/112
1401ME06,80,4,76/112
1401EE68,44,17,27/112
1401CB19,56,0,56/112
1401EE04,104,1,103/112
1401MM13,100,1,99/112
1401CB05,104,2,102/112
1401CE38,44,11,33/112
1401CS56,88,1,87/112
1401ME77,60,3,57/112
1401CE06,28,2,26/112
1401CB31,84,2,82/112
1401ME39,84,2,82/112
1401CB11,92,1,91/112
1401CE13,60,3,57/112
1401EE10,96,1,95/112
1401MM03,44,5,39/112
1401CS10,100,3,97/112
1401ME32,56,3,53/112
1401ME27,76,1,75/112
1401EE74,56,8,48/112
1401EE54,104,1,103/112
1401CS02,112,0,112/112
1401MM29,100,0,100/112
1401CB08,52,15,37/112
